theta	prop_random	stat	value	theta_string
7	0.25	I2	0.913174475108593	theta[M]==7
1	0.3	I2	0.169984404951565	theta[M]==1
3	0.3	I2	0.663737243851624	theta[M]==3
5	0.3	I2	0.870014406736222	theta[M]==5
7	0.3	I2	0.923706309620553	theta[M]==7
1	0.35	I2	0.225101016484044	theta[M]==1
3	0.35	I2	0.701075823177094	theta[M]==3
5	0.35	I2	0.887617194459646	theta[M]==5
7	0.35	I2	0.933775145450633	theta[M]==7
1	0.4	I2	0.27428769601932	theta[M]==1
3	0.4	I2	0.737536387674466	theta[M]==3
5	0.4	I2	0.898155560963821	theta[M]==5
7	0.4	I2	0.939470534185294	theta[M]==7
1	0.45	I2	0.283049922895921	theta[M]==1
3	0.45	I2	0.7564439835379	theta[M]==3
5	0.45	I2	0.906660099244115	theta[M]==5
7	0.45	I2	0.944218287216979	theta[M]==7
1	0.5	I2	0.319027333875396	theta[M]==1
3	0.5	I2	0.788572223111447	theta[M]==3
5	0.5	I2	0.915347343094079	theta[M]==5
7	0.5	I2	0.948240642231853	theta[M]==7
